State,County,population,current_reported_cases,acute_beds,icu_beds,first_day_over_acute_capacity,first_day_over_icu_capacity,acute_bed_utilization_on_day_30,icu_bed_utilization_on_day_30
New York,Rockland County,325695,671,120,19,11,3,3.5731767512472,7.72021654012662
New York,Westchester County,967612,3891,1097,175,14,7,2.50883918356459,5.3613867482119
New York,New York County,1628701,15597,5180,897,16,10,2.05826627195894,3.9309934767235
Utah,Summit County,41933,90,27,4,15,10,2.25723875273243,3.8459651987803
Colorado,Eagle County,54993,96,38,5,19,12,1.64022863329933,2.97284612558877
New York,Orange County,381951,539,272,38,21,13,1.27629095787336,2.76296654164618
Louisiana,Orleans Parish,391006,675,325,76,20,18,1.39550022453351,1.77435425163263
New York,Nassau County,1358343,2869,2525,408,25,18,0.821917816038927,1.74350523818572
New York,Putnam County,98892,67,96,10,30,19,0.530096970257633,1.59439373972976
New York,Suffolk County,1481093,1880,1513,288,25,19,0.897031914101401,1.53656162156527
Washington,Snohomish County,814901,614,314,85,21,20,1.29431255114602,1.34816596616144
New York,Sullivan County,75498,30,47,6,31,21,0.480959093159352,1.23048980958276
New Jersey,Bergen County,936692,701,1362,148,33,22,0.371799284090754,1.14829338300144
New Hampshire,Rockingham County,309176,42,64,10,30,23,0.507087023939775,1.02211183247391
Massachusetts,Norfolk County,705388,129,328,31,36,24,0.279525329855613,0.981018392560604
New York,Dutchess County,293718,124,332,31,37,24,0.275705796732577,0.978962339634678
Massachusetts,Plymouth County,518132,64,131,16,34,24,0.364014242634546,0.975091203467292
New Jersey,Hudson County,676061,234,292,44,31,25,0.484345473833668,0.897607934807551
California,Santa Cruz County,274255,24,68,6,38,25,0.241789793706108,0.856597546101126
New Jersey,Somerset County,331164,102,158,28,31,26,0.460112847428486,0.816821424081132
Colorado,Weld County,314305,76,143,16,35,26,0.318476382767152,0.789238562943483
Ohio,Miami County,106222,19,39,6,34,26,0.355249663382027,0.785174285282988
New York,Saratoga County,230163,60,115,19,33,26,0.389333049334961,0.76303599999476
Virginia,James City County,76397,37,116,16,37,26,0.262432667819867,0.749983406830455
Connecticut,Fairfield County,943823,384,992,117,37,26,0.270299946484607,0.744557297180682
New Jersey,Morris County,494228,204,548,66,37,27,0.272259245411387,0.742891246397948
South Carolina,Kershaw County,65592,58,60,20,27,27,0.707978043918033,0.69519550452744
New Jersey,Ocean County,601651,180,699,78,40,27,0.194354711138473,0.693014333277316
Vermont,Windsor County,55286,15,43,7,36,28,0.294298825315125,0.650660069237229
New Jersey,Union County,558067,246,536,80,35,28,0.305356214395331,0.629933516811975
Washington,Kittitas County,47364,18,13,6,25,28,0.89864181899392,0.627344728953697
Arizona,Navajo County,110445,32,77,12,36,28,0.286238336590932,0.619920325334778
Washington,Whatcom County,225685,64,130,24,35,29,0.335932615900867,0.595407834415287
Kentucky,Harrison County,18778,15,20,6,30,29,0.550306241557667,0.594989511828581
Washington,Jefferson County,31729,8,15,6,29,29,0.565141672335437,0.578233755384473
Michigan,Clinton County,79332,5,23,2,42,29,0.155555459683174,0.570532398147066
Georgia,Dougherty County,91243,101,287,38,39,30,0.222509469904754,0.544028558534671
Mississippi,Pearl River County,55387,13,42,6,39,30,0.224980944397564,0.523903517858601
South Dakota,Beadle County,18883,13,15,6,29,30,0.575577991424452,0.515205792181778
Washington,King County,2233163,1277,2105,469,33,30,0.389530757880661,0.501228815556447
New Jersey,Monmouth County,621354,288,986,142,39,31,0.217904157813711,0.496523880952938
New Hampshire,Carroll County,48779,7,39,5,42,31,0.167263556132945,0.492763142274929
New Jersey,Passaic County,503310,216,570,90,38,31,0.247407812702039,0.487819632114003
Wyoming,Fremont County,39531,12,66,6,44,31,0.128232941096609,0.476031369020465
Colorado,Chaffee County,20027,3,19,2,44,31,0.137626749910873,0.473283886186997
Massachusetts,Essex County,790638,118,475,59,41,31,0.177470614748073,0.469772560158262
Massachusetts,Barnstable County,213413,40,268,34,43,31,0.140191265344846,0.458427172068423
California,Marin County,259666,53,296,34,43,31,0.146153427903825,0.457809645218207
Massachusetts,Berkshire County,126348,37,172,25,41,31,0.176962651694093,0.457146016098011
Oregon,Linn County,127335,20,57,11,37,32,0.252362273587557,0.439864471403311
New Mexico,Chaves County,64689,4,18,2,43,32,0.143166734260394,0.435943706659815
Michigan,Macomb County,874759,225,792,122,40,32,0.204039368051265,0.431813207689487
New Jersey,Sussex County,140799,18,103,10,44,32,0.134831910027898,0.423391836424837
Connecticut,Litchfield County,181111,22,74,15,38,32,0.24538577907707,0.420542856751609
Wisconsin,Fond du Lac County,103066,18,100,11,44,32,0.13240844360235,0.413197062165828
Alaska,Ketchikan Gateway Borough,13918,8,16,4,34,32,0.35184444211005,0.412746920287129
Washington,Skagit County,128206,48,175,31,39,32,0.205643195529494,0.412180452467438
California,San Luis Obispo County,284010,42,163,27,40,33,0.18811566869728,0.404387400615671
California,San Mateo County,769545,161,561,89,40,33,0.199374242186622,0.403941443830202
Montana,Gallatin County,111876,19,61,8,40,33,0.185833809406264,0.397668041660258
Louisiana,St. Bernard Parish,46721,19,32,8,34,33,0.357832179793419,0.383562352324272
New York,Tompkins County,102793,16,77,8,44,33,0.12639357281646,0.382390622579942
Georgia,Coweta County,145864,10,37,5,41,33,0.17983864150808,0.376828354087399
Georgia,Cherokee County,254149,30,85,15,38,34,0.235577047683463,0.370734598189579
Utah,Davis County,351713,31,67,12,38,34,0.241466689620235,0.365507167292124
Mississippi,Madison County,105630,14,25,7,34,34,0.361481746943218,0.362288121382577
Tennessee,Sumner County,187149,34,85,20,36,34,0.276789167636596,0.361365582929813
Maryland,Howard County,323196,30,165,16,45,34,0.120785475785765,0.357088395228464
Louisiana,St. Charles Parish,52879,15,31,8,35,34,0.322146171397307,0.353379866834162
Michigan,Wayne County,1753893,873,2654,530,39,34,0.22035710807159,0.349713962071311
Wisconsin,Washington County,135693,17,62,12,39,34,0.205535067575155,0.348000939790611
Louisiana,Avoyelles Parish,40462,3,30,2,51,34,0.0684740470805335,0.34411373045733
Minnesota,Dakota County,425423,21,109,12,44,34,0.128352753751554,0.34379905227813
Massachusetts,Middlesex County,1614714,304,1397,190,43,34,0.147302379622718,0.341594411170461
Ohio,Delaware County,204826,11,43,6,42,34,0.166955431134447,0.341043367866968
New Hampshire,Belknap County,61022,7,66,6,48,34,0.0883048208014426,0.339307658148765
California,Placer County,393149,26,146,20,44,34,0.131682768184757,0.337452444122441
Arkansas,Clark County,22061,6,17,4,39,35,0.225289876688057,0.335139794150928
Kansas,Morris County,5521,2,21,2,49,35,0.0784481729240119,0.334230715462719
Florida,Indian River County,157413,11,112,14,48,35,0.0917931183194272,0.333686202637062
Iowa,Kossuth County,14908,1,18,1,55,35,0.0440521128529953,0.332437477915815
New Jersey,Middlesex County,829685,277,1110,178,41,35,0.168384929939411,0.326021655947392
California,San Joaquin County,752660,60,170,34,39,35,0.211466513639317,0.311284505854227
Maine,York County,206229,16,120,14,46,35,0.105699211818397,0.310927528211532
South Carolina,Beaufort County,188715,22,162,24,45,36,0.113631929726439,0.30377913216106
Massachusetts,Hampshire County,161355,8,34,6,42,36,0.160164457502029,0.302749477663504
Louisiana,Jefferson Parish,434051,293,828,224,37,36,0.250456766318423,0.301354618280289
Tennessee,Robertson County,71012,12,37,8,39,36,0.221748077032615,0.300991558357136
Ohio,Medina County,179146,15,151,12,50,36,0.0734380431116074,0.298265974435094
New Jersey,Gloucester County,291408,19,243,14,53,36,0.0551714891659193,0.295258960753986
Michigan,Monroe County,150439,12,72,10,45,36,0.124459474873225,0.293809603142321
Vermont,Windham County,42756,5,48,5,48,36,0.0867383250635103,0.292386201505018
Pennsylvania,Monroe County,169507,45,232,36,43,36,0.144704331808373,0.29148840055284
South Dakota,Bon Homme County,6980,1,26,1,60,36,0.027976297336186,0.287419561922551
New York,Rensselaer County,159442,30,142,24,43,36,0.150837372732516,0.287339296221948
New Jersey,Essex County,799767,342,1266,237,41,36,0.173790832552265,0.278390467769029
Maryland,Prince George's County,909308,63,291,42,43,37,0.141212719044738,0.271739865325893
California,Santa Clara County,1937570,375,1318,266,41,37,0.182093404598143,0.270146000914145
Nevada,Clark County,2231647,249,772,180,39,37,0.2119852314902,0.269974671541193
Tennessee,Carroll County,28020,3,10,3,39,37,0.223257222972558,0.266987026409465
Illinois,Lake County,700832,111,491,83,43,37,0.150346978152346,0.266034311580039
Georgia,Carroll County,118121,26,117,18,43,37,0.13816075011321,0.26440483715497
Wisconsin,St. Croix County,89694,4,45,3,52,37,0.060136208268399,0.260253635601329
Michigan,Oakland County,1259201,428,1866,381,42,37,0.164616668520896,0.257334843416911
Indiana,Johnson County,156225,18,55,14,39,37,0.212531852187828,0.254735075875244
Colorado,Garfield County,59770,10,32,7,40,37,0.200753831215037,0.25144578882796
South Carolina,Clarendon County,33700,5,36,6,46,38,0.112236452365503,0.246660000457118
Florida,Collier County,378488,41,708,70,53,38,0.0520309641169374,0.244769853429387
North Carolina,Cherokee County,28383,4,15,6,38,38,0.245712280653252,0.242123743102026
Wisconsin,Columbia County,57358,5,16,5,38,38,0.232988878215501,0.24157827673096
Florida,St. Johns County,254261,22,130,24,44,38,0.130298559392982,0.238844269010165
California,Siskiyou County,43724,3,25,4,47,38,0.101354127041991,0.237859938296238
North Carolina,Chatham County,73139,3,21,4,45,38,0.118404918328949,0.235567173128874
New York,Albany County,307117,146,889,143,46,38,0.112745429440144,0.235559853138284
Maine,Cumberland County,293557,74,527,78,46,38,0.10484585326703,0.235388687098353
Massachusetts,Franklin County,70963,5,44,6,47,38,0.0938544663346053,0.234553186038314
Washington,Kitsap County,269805,20,119,20,45,38,0.119845940829259,0.230747608252319
New Mexico,Santa Fe County,150056,14,143,18,49,38,0.0821748075852138,0.230571395095183
Mississippi,Coahoma County,22628,11,140,10,54,38,0.0505609364445287,0.22971276593627
Wisconsin,Jefferson County,85129,4,33,4,48,38,0.0876874373170218,0.228538812384649
Delaware,Sussex County,229286,23,179,34,45,38,0.113961781094447,0.228044743300497
Iowa,Muscatine County,42929,5,29,5,45,39,0.117740395104897,0.22435527106235
Maryland,Garrett County,29163,3,30,4,49,39,0.0815746570966228,0.220559501928317
Florida,Monroe County,75027,3,21,4,45,39,0.122470344015294,0.219986498382049
Florida,Walton County,71375,10,91,12,48,39,0.0871854365807969,0.219521839777027
Michigan,Ottawa County,290494,15,92,14,46,39,0.103296165089753,0.218227028688327
Colorado,Summit County,31007,10,18,8,33,39,0.388422408004519,0.216545500221191
California,Yolo County,220408,10,51,8,46,39,0.111628142700289,0.215743331103813
Washington,Yakima County,251446,44,126,38,39,39,0.205992082552047,0.215603705020142
California,Mono County,14250,2,13,2,46,39,0.112418346660821,0.20936772175379
New York,Madison County,70795,5,48,6,49,39,0.0773194218201117,0.206420813003064
Georgia,Fayette County,113459,12,163,14,53,39,0.0550266693041508,0.206254495167726
Virginia,Prince William County,468011,23,131,16,46,40,0.102548600352589,0.204219944070556
California,Imperial County,181827,9,48,8,46,40,0.108048627398781,0.203648599551942
Pennsylvania,Adams County,102811,6,56,8,49,40,0.082655790196403,0.203536369634149
Colorado,El Paso County,713856,106,535,91,45,40,0.12036423583196,0.202724322583773
Colorado,Routt County,25733,4,20,4,43,40,0.14619879269073,0.200842102039875
Massachusetts,Dukes County,17352,2,17,3,47,40,0.101009200821381,0.200014294643
Pennsylvania,Montgomery County,828604,144,982,179,46,40,0.105753880137442,0.198967133550957
Vermont,Chittenden County,164572,40,273,42,47,40,0.0964246190441814,0.197242553622125
New York,Schenectady County,155350,46,281,56,45,40,0.115160141305226,0.196113570169599
North Carolina,Rowan County,141262,5,162,6,62,40,0.0221085584132048,0.196031834452764
New Jersey,Warren County,105779,15,152,20,50,40,0.0752561576408917,0.190306185746297
Pennsylvania,Bucks County,628195,65,585,88,48,40,0.0846009254041404,0.190041254853521
Maryland,Harford County,253956,5,53,6,51,41,0.0671552307136828,0.183798946028767
Florida,Manatee County,394855,16,176,31,49,41,0.0778991535718137,0.18295075465452
Georgia,Pickens County,31980,4,39,6,49,41,0.0824774450040555,0.181630888687162
Nevada,Douglas County,48467,2,15,4,45,41,0.123600642969266,0.178370252515141
Tennessee,Davidson County,692587,183,640,178,41,41,0.173756411043124,0.1751290111321
Texas,Deaf Smith County,18760,2,26,2,55,41,0.0433168949488514,0.175074609498529
Minnesota,Carver County,103551,8,51,8,47,41,0.100121009933026,0.174440624360536
Alabama,Shelby County,215707,27,138,32,44,41,0.13340221244627,0.17316000410696
Illinois,Cook County,5180493,1194,7059,1419,46,41,0.11048409141709,0.171251988367184
Florida,Citrus County,147929,9,171,24,53,41,0.0524541545266447,0.169703715649756
New York,Wayne County,90064,6,55,9,49,41,0.0831612914949957,0.169030302922693
Virginia,Rockbridge County,22752,1,13,2,51,41,0.0658670495922133,0.168880075815539
South Carolina,Darlington County,66802,8,83,12,50,42,0.0710477127365798,0.165273612794421
New York,Steuben County,95796,5,75,8,54,42,0.0503538102063103,0.164482648013336
Texas,Brazoria County,370200,18,126,18,48,42,0.0866255019246736,0.164081992313096
Arizona,Pinal County,447138,22,125,34,44,42,0.127637670378962,0.164067410740871
Texas,McLennan County,254607,20,110,24,46,42,0.109856050461334,0.164047577535962
New York,Chenango County,47536,3,41,5,52,42,0.0572542403168358,0.163986357426707
Tennessee,Gibson County,49045,2,17,3,49,42,0.0827556722034659,0.163689401837773
Louisiana,Lafourche Parish,98115,16,133,21,49,42,0.0815322788923542,0.16291933724833
Missouri,Perry County,19150,2,18,3,49,42,0.0797442279937885,0.162862018454017
Florida,Broward County,1951260,311,1995,443,46,42,0.109927733993106,0.161873144004662
Montana,Roosevelt County,11059,1,40,1,67,42,0.0138936194264493,0.161567726257193
Georgia,Gordon County,57685,8,36,10,43,42,0.148227905074645,0.160110928906804
Delaware,New Castle County,559335,71,691,95,50,42,0.0702141673521181,0.160071290985336
Virginia,Arlington County,237521,36,187,34,46,42,0.113130958832052,0.158912142955932
Colorado,Jefferson County,580233,73,295,102,41,42,0.177300842938406,0.158218231954102
California,Ventura County,850967,39,143,53,41,42,0.18404979042939,0.158096625562254
Mississippi,Rankin County,153902,13,261,17,58,42,0.0333004448714078,0.157612353057232
California,San Benito County,61537,7,33,8,44,42,0.132183240490568,0.157021683771879
Maryland,Calvert County,92003,3,55,4,56,42,0.0384757804023323,0.156384198760961
California,Sonoma County,499942,34,378,56,51,42,0.0680517219237032,0.155694002879658
Oregon,Washington County,597695,76,518,90,47,42,0.0933443342961462,0.155246273597139
New Jersey,Burlington County,445384,42,504,64,52,42,0.0603694433425592,0.15468345864234
Pennsylvania,Wayne County,51276,4,54,8,51,42,0.0632191489541307,0.154399535598933
Missouri,Cass County,104954,6,64,9,51,42,0.0655691154398031,0.154127802239288
California,San Francisco County,883305,152,771,215,44,42,0.135159573145334,0.153829383616973
North Carolina,Harnett County,134214,9,83,10,51,42,0.0650931740796212,0.152472633128391
Colorado,Douglas County,342776,53,312,58,46,43,0.108834364662722,0.151359594666427
Colorado,Larimer County,350518,43,266,59,46,43,0.106247263654858,0.150382564610144
Virginia,Stafford County,149960,6,57,6,51,43,0.0631850035771172,0.150205167297487
Alabama,Lee County,163941,26,226,28,51,43,0.0667857676310371,0.149765471908396
Arkansas,Jefferson County,68114,22,139,34,46,43,0.110739222053429,0.149386212656531
Tennessee,Tipton County,61581,6,22,8,41,43,0.182851397128467,0.147513927868899
New York,Monroe County,742474,96,1094,154,52,43,0.0616700090384346,0.147156494036702
Alaska,Kenai Peninsula Borough,58533,4,30,6,47,43,0.0984109096563595,0.146712758272718
Alabama,St. Clair County,88690,4,34,6,49,43,0.0833635845000691,0.146485181631454
Colorado,Boulder County,326078,49,292,65,46,43,0.108952951781458,0.145155810983622
Connecticut,Hartford County,892697,88,996,145,51,43,0.0625878564692733,0.14513198413783
New Mexico,Sandoval County,145179,7,48,11,46,43,0.104323229787459,0.144492432955306
New York,Niagara County,210433,11,150,20,53,43,0.0556683711381614,0.143802737963102
Washington,Whitman County,49791,2,33,2,59,43,0.0297030280673277,0.14377572953538
Colorado,Denver County,716492,176,918,201,45,43,0.113430923388811,0.141911870118825
California,Alameda County,1666753,124,898,170,48,43,0.0902849962453493,0.140372648649876
Pennsylvania,Delaware County,564751,84,791,138,50,43,0.0733160982017265,0.139942059937414
Kansas,Leavenworth County,81352,7,28,10,42,43,0.165385464495166,0.138128217188763
Michigan,Otsego County,24665,5,29,10,44,44,0.134421088851214,0.137877519067196
Georgia,Cobb County,756865,90,680,111,49,44,0.0835250250774252,0.137162686521399
Massachusetts,Bristol County,564022,31,483,54,55,44,0.0459211888442668,0.13446337409545
New Jersey,Mercer County,369811,58,427,92,48,44,0.0912654679142817,0.13417853785654
Mississippi,Oktibbeha County,49599,5,75,6,58,44,0.034219995884155,0.132612184158181
Tennessee,Loudon County,53054,2,25,5,51,44,0.0685454366814657,0.131948262089907
California,Contra Costa County,1150215,86,698,142,48,44,0.0850270997493496,0.130967054047788
Florida,Sarasota County,426718,26,584,94,55,44,0.0438196333368104,0.130785771415721
Indiana,Hamilton County,330086,25,231,33,51,44,0.0674546291312484,0.13026758820569
Oklahoma,Kay County,44161,5,46,10,50,44,0.0759726048260658,0.129465598189286
West Virginia,Jefferson County,56811,3,16,5,44,44,0.134653256902526,0.128494154217795
Oregon,Grant County,7176,1,11,3,49,44,0.0825625900099702,0.12808884000002
South Dakota,Charles Mix County,9338,1,35,2,64,44,0.0189790867941036,0.127979755997273
Iowa,Henry County,20067,1,13,2,53,44,0.0551504218838715,0.127256335007425
Kentucky,Bourbon County,20184,2,17,4,48,44,0.0858733510878172,0.126868364833586
Florida,Okaloosa County,207269,14,139,24,51,44,0.0679747692602947,0.126504256236478
North Carolina,Carteret County,69524,4,80,10,55,44,0.0434048977502376,0.126401476759334
Florida,Miami-Dade County,2761581,338,3075,608,49,44,0.0762188359251678,0.126191401503508
Oregon,Yamhill County,107002,6,58,11,50,45,0.0712102990212604,0.12476030859824
Texas,Fannin County,35286,1,23,2,58,45,0.0315711750132753,0.123486209197151
Mississippi,Leflore County,28919,10,125,16,54,45,0.0489071423102381,0.123395361307541
Colorado,Logan County,21528,2,18,4,49,45,0.0777420472049808,0.122619788467523
Oregon,Marion County,346868,32,190,55,46,45,0.109641048927052,0.121784211145724
Indiana,Gibson County,33452,2,20,4,50,45,0.07102302624993,0.120322078497523
North Carolina,Iredell County,178435,9,116,16,53,45,0.0544954520998582,0.120077159978308
District of Columbia,District of Columbia,702455,183,1183,259,48,45,0.0913013540389881,0.120063730623385
South Carolina,Jasper County,28971,2,21,4,50,45,0.0720020038894463,0.119929205738159
Indiana,Howard County,82366,6,23,13,40,45,0.191510482556091,0.119735016356913
Georgia,Douglas County,145331,12,86,16,48,45,0.0861243647441084,0.119605606284955
Arizona,Santa Cruz County,46511,1,16,2,55,45,0.042360746222191,0.11795517161992
Georgia,Gwinnett County,927781,46,322,56,48,45,0.0842874022205028,0.117856814576571
North Carolina,Guilford County,533670,16,128,28,49,45,0.0823996752820634,0.11785292398226
Connecticut,New Haven County,857620,89,1203,183,53,45,0.0526761416290524,0.116888123797686
Vermont,Orleans County,26907,2,14,5,45,45,0.116198318815638,0.116434817563179
Ohio,Mahoning County,229642,28,268,68,49,45,0.0800801596335172,0.116433246655108
Arkansas,Faulkner County,124806,17,184,25,53,45,0.0546569498539809,0.1156324076699
California,Calaveras County,45602,2,25,6,50,45,0.0731147884136659,0.115322804716051
Mississippi,Lincoln County,34205,4,50,8,53,45,0.056048145155534,0.114798268760504
Wyoming,Laramie County,98976,8,120,15,55,45,0.0446761435950605,0.114225658174768
Louisiana,St. Mary Parish,49774,2,18,4,49,45,0.0779079960435981,0.114156894234832
Washington,Pierce County,891299,138,642,229,44,45,0.137799696274951,0.113823025609662
Colorado,Montrose County,42214,3,27,8,48,45,0.0887629507680877,0.113670900852863
New Mexico,Doï¿½a Ana County,217522,13,91,24,48,45,0.0884849582130163,0.113505953867747
Texas,Matagorda County,36552,3,47,6,55,45,0.0437055486529421,0.113491915151009
Wisconsin,Sheboygan County,115456,6,68,13,51,45,0.0644444781839853,0.113231679899046
Ohio,Geauga County,94031,5,95,12,56,46,0.0406225831933006,0.113183458247872
Georgia,Paulding County,164044,6,100,8,57,46,0.0362212773279463,0.112032217752833
Ohio,Coshocton County,36629,3,37,7,52,46,0.0596152080121124,0.111977984452236
Ohio,Belmont County,67505,2,20,5,49,46,0.078086566283869,0.111931343576018
Wisconsin,Milwaukee County,948201,219,1399,374,47,46,0.0971919111611486,0.111717125492789
California,Madera County,157672,6,73,10,54,46,0.0500552305697465,0.111571853611075
Iowa,Sioux County,34909,1,64,2,70,46,0.00959079274649094,0.111361551206728
Vermont,Rutland County,58672,5,79,13,53,46,0.0517443299189336,0.110607369488983
Oklahoma,Cleveland County,281669,22,139,36,47,46,0.0967178047264939,0.110273641021225
Colorado,Arapahoe County,651215,69,409,112,46,46,0.107090941641045,0.109976803331415
Colorado,Morgan County,28558,3,36,6,53,46,0.0535980665797236,0.109451087830233
Georgia,DeKalb County,756558,107,739,168,48,46,0.0900635800384812,0.108753222745938
Virginia,Loudoun County,406850,18,43,23,38,46,0.240785036815904,0.10861241159654
Mississippi,Hancock County,47334,5,80,12,54,46,0.0485328983464242,0.10819653474998
Michigan,Livingston County,191224,13,34,28,36,46,0.288028754648779,0.10734995246801
Wisconsin,Waukesha County,403072,31,300,74,49,46,0.0778025329492719,0.107023717366342
Louisiana,St. Tammany Parish,258111,52,412,109,48,46,0.0896989287659329,0.106842472637716
Florida,Santa Rosa County,179349,4,133,8,62,46,0.0211310079588925,0.10639847477089
Florida,Palm Beach County,1485941,101,1962,311,56,46,0.040444629508581,0.10638422126474
Kentucky,Montgomery County,28203,2,30,4,55,46,0.0456146887885569,0.105584720485163
Alabama,Baldwin County,218022,4,95,10,58,46,0.0322565528320879,0.105379207248159
California,Santa Barbara County,446527,24,171,48,48,46,0.0869836392251097,0.105372056826972
Georgia,Newton County,109541,6,71,10,53,46,0.0529038144847286,0.105344879506813
Ohio,Richland County,121099,4,115,10,61,46,0.02547608138154,0.10530316385793
Alabama,Walker County,63711,5,80,12,54,46,0.0464808205471645,0.105038908470966
Oregon,Deschutes County,191996,10,160,24,54,46,0.0476327448237838,0.104827109429381
California,Monterey County,435594,24,355,43,56,46,0.041101485109288,0.104615303604547
Georgia,Floyd County,97927,12,172,26,54,46,0.0472747124551206,0.103741005026905
South Carolina,Sumter County,106512,8,93,17,52,46,0.0573671237033588,0.10368585075917
Kentucky,Daviess County,101104,15,199,34,53,47,0.0518071711260666,0.102268743913981
Pennsylvania,Chester County,522046,40,566,88,54,47,0.0496817993702707,0.102217461959709
Texas,Lavaca County,20110,1,45,3,65,47,0.0169964289506256,0.102156968166259
Wisconsin,Ozaukee County,89147,16,148,42,49,47,0.0825634793350375,0.102053912060668
Mississippi,Bolivar County,31333,4,43,8,52,47,0.0607327416437872,0.101986846713183
Massachusetts,Suffolk County,807252,234,2337,389,52,47,0.0588002521085265,0.101724049003029
Louisiana,Terrebonne Parish,111021,14,178,27,53,47,0.0513789523429102,0.101651910422687
Georgia,Troup County,70034,6,77,12,54,47,0.0508818658859528,0.101491592441072
Wyoming,Teton County,23081,3,30,6,50,47,0.0705807254910683,0.101070143508984
Kansas,Douglas County,121436,6,58,10,52,47,0.0581643772674891,0.100118971873775
Maryland,Montgomery County,1052567,107,744,234,47,47,0.0980479371938464,0.0991548814602073
Wisconsin,Sauk County,64249,4,72,10,56,47,0.0405493364805287,0.0990193036154952
New Hampshire,Grafton County,89786,21,247,58,51,47,0.0656665313051035,0.098818740041259
Pennsylvania,Schuylkill County,142067,5,125,14,59,47,0.0309648242069945,0.0987056179712229
Washington,Thurston County,286419,14,194,32,54,47,0.0506056157924183,0.0980124867744319
Massachusetts,Worcester County,830839,73,854,163,52,47,0.0597389529972928,0.0979295253903702
Arkansas,Polk County,20049,2,25,6,51,47,0.0626542100197958,0.097485632611991
Maryland,Anne Arundel County,576031,24,458,50,57,47,0.0354097932575641,0.0969981421499901
Maryland,Carroll County,168429,5,87,12,56,47,0.0419984679562387,0.0968694933057939
Maryland,Baltimore County,828431,42,674,104,55,47,0.0436967156253365,0.0961690560781554
Ohio,Butler County,382378,18,243,38,54,47,0.0483132293578266,0.0956277197142735
Washington,Mason County,65507,2,13,6,44,47,0.125493416560499,0.0956138737215122
New York,Montgomery County,49455,3,70,8,59,47,0.0310037994971401,0.0953702991780538
Ohio,Trumbull County,198627,4,77,12,56,47,0.0405742446037256,0.0951875101258606
Alaska,Fairbanks North Star Borough,98971,9,57,13,48,47,0.0879452155081581,0.0951681708823904
North Carolina,Union County,235908,13,96,24,48,47,0.0862808267714708,0.0944564603288094
Tennessee,Cumberland County,59673,3,61,12,55,47,0.0449654911722261,0.0943539061876202
Iowa,Poweshiek County,18699,2,32,6,55,47,0.045300900890436,0.0940039804162883
California,San Diego County,3343364,242,2524,505,52,47,0.0610198409570852,0.0934032569981247
South Carolina,Orangeburg County,86934,8,139,22,55,47,0.0421898919222395,0.0931736197560178
California,Tulare County,465861,17,336,29,60,47,0.0277319112486812,0.093062963964819
Indiana,Tipton County,15128,2,19,6,49,47,0.0818666713035217,0.092899771820488
Wisconsin,Dane County,542364,72,578,144,49,48,0.0779911101139326,0.0927119064141171
Pennsylvania,Northampton County,304807,33,556,93,55,48,0.0437643299576854,0.0926423622199233
Alabama,Tallapoosa County,40497,2,25,6,51,48,0.0632881840989228,0.0925837932277591
Connecticut,Middlesex County,162682,8,157,24,56,48,0.0405111889847263,0.0923349517937693
