State,County,population,current_reported_cases,acute_beds,icu_beds,first_day_over_acute_capacity,first_day_over_icu_capacity,acute_bed_utilization_on_day_30,icu_bed_utilization_on_day_30
South Carolina,Lancaster County,95380,7,98,20,53,48,0.0540618467042019,0.091915784832111
Arkansas,Hempstead County,21741,3,59,8,57,48,0.035640138831765,0.0916934028600319
Illinois,Christian County,32661,1,43,3,64,48,0.0175927266867223,0.091540003502887
New York,Livingston County,63227,3,30,8,50,48,0.0727508944100518,0.0914498618969128
Montana,Lewis and Clark County,68700,3,71,8,58,48,0.0314554624478666,0.0913068516935395
North Dakota,Ramsey County,11481,1,18,3,56,48,0.0405519978995982,0.0910363301427757
Illinois,McHenry County,308570,14,205,31,54,48,0.0474423731614632,0.0910063402893623
New York,Erie County,919719,107,1485,291,53,48,0.0519202944585832,0.0908397740124377
Illinois,DuPage County,928589,103,1293,245,53,48,0.0550121487565703,0.0900016982151801
Tennessee,Campbell County,39583,2,148,6,70,48,0.0104339998404662,0.0899878098927188
Washington,Lewis County,79604,2,73,6,63,48,0.021027423439418,0.0898289795004824
Hawaii,Maui County,167207,9,166,24,56,48,0.0398675228229767,0.0897661148315923
Ohio,Lorain County,309461,30,362,83,52,48,0.0604680408111745,0.0888688554332208
Oklahoma,Canadian County,144447,4,41,8,52,48,0.0604492490237936,0.0888147462462517
Maryland,Charles County,161503,5,81,10,56,48,0.0403925214469768,0.0886606277013028
Indiana,Hendricks County,167009,13,158,28,53,48,0.0534811259834835,0.0880541521642296
Iowa,Jasper County,37147,1,17,3,55,48,0.0429810554956737,0.0878185835618885
Kentucky,Warren County,131264,15,273,30,58,48,0.0324122699631528,0.0876217823005823
Tennessee,Greene County,69087,5,50,16,49,48,0.0793044479357961,0.0873047470981286
Ohio,Greene County,167995,3,41,8,54,48,0.0507356405970751,0.0867811184337724
Hawaii,Honolulu County,980080,58,928,163,55,48,0.0425409098705686,0.086475052867149
Virginia,Gloucester County,37349,2,24,6,51,48,0.0652643520418085,0.0857742218714175
Mississippi,Monroe County,35564,3,80,9,60,48,0.0274188545860317,0.0854215244001967
Washington,Benton County,201877,12,198,28,56,48,0.0387653174328453,0.0854085959066581
Mississippi,Harrison County,206650,24,452,57,57,48,0.0348788930780866,0.0844113903339594
Pennsylvania,Lackawanna County,210793,15,414,48,60,48,0.0269757022309665,0.0843694324547297
Florida,Flagler County,112067,4,81,18,55,48,0.0455677789908322,0.0843632471657995
New York,Allegany County,46430,2,18,6,49,49,0.0798199192297491,0.0837938888141275
Virginia,Virginia Beach City,450189,17,292,40,57,49,0.0376812676134875,0.0830882457346507
Louisiana,Evangeline Parish,33443,2,12,5,46,49,0.108844718537321,0.082889765750003
Arkansas,Hot Spring County,33701,2,42,6,57,49,0.0352937971547793,0.0826314309766436
Alabama,Limestone County,96174,4,47,10,52,49,0.0589612662061691,0.0825325746344112
Florida,Lee County,754610,32,1054,141,60,49,0.0262857280124045,0.0822931605549372
Iowa,Dubuque County,96854,6,166,18,61,49,0.0251613256684621,0.0821133495148481
South Dakota,Brookings County,35232,1,39,2,67,49,0.0135258018497826,0.0819535796488378
Kentucky,Logan County,26989,2,24,6,52,49,0.0604037718104943,0.0819303536183636
Louisiana,Caddo Parish,242922,40,515,113,53,49,0.0532172791983539,0.0813293184857366
Wisconsin,Chippewa County,64135,2,67,6,62,49,0.0219017830387937,0.0805788817815065
Utah,Salt Lake County,1152633,127,827,239,48,49,0.0855474390115825,0.0801362191487669
South Carolina,Anderson County,200482,16,215,48,53,49,0.0532257785711932,0.0795456185019517
Arkansas,Columbia County,23537,2,24,6,53,49,0.0547859642866898,0.0790809181919449
Pennsylvania,Potter County,16622,1,16,4,53,49,0.0515488717238642,0.0786676747653905
Washington,Clallam County,76737,4,64,19,53,49,0.0562279926537643,0.0772227285004118
New York,Onondaga County,461809,60,1006,183,56,49,0.0417976444514973,0.0770569061656133
Washington,Chelan County,77036,6,150,20,59,50,0.0288639476169678,0.0753489632960246
Virginia,Franklin County,56195,1,14,4,52,50,0.0596876332872314,0.0749086096208594
Oregon,Clackamas County,416075,17,308,54,56,50,0.0403676994552291,0.074677832855745
North Carolina,Mecklenburg County,1093901,104,755,224,49,50,0.0821960001772062,0.0735199917386315
Indiana,Marion County,954670,161,1850,388,53,50,0.052911457798213,0.0732648926906339
South Carolina,Lexington County,295032,19,310,55,55,50,0.0423181560014257,0.073075919949619
Washington,Stevens County,45260,1,33,4,61,50,0.0251459688824536,0.0729959680559906
Minnesota,Renville County,14612,1,10,4,50,50,0.0757603630927383,0.0729040839975246
Georgia,Spalding County,66100,5,103,16,58,50,0.0340229605888292,0.0728859704780713
California,Solano County,446610,24,314,70,53,50,0.0522858813923199,0.0726609564388247
California,Sacramento County,1540975,88,1090,236,53,50,0.0517672409524693,0.0725258446321278
Mississippi,Lowndes County,58930,6,112,18,57,50,0.0357215622039006,0.0721014809430859
Maine,Waldo County,39694,1,17,4,54,50,0.0487191963299453,0.071446942996453
California,Orange County,3185968,152,2403,441,55,50,0.0421364141900224,0.0713249160074882
Ohio,Defiance County,38165,2,8,7,41,50,0.179631065930063,0.0711908764782953
Maryland,Cecil County,102826,3,68,9,58,50,0.0313829176809053,0.0711673061149772
Mississippi,Panola County,34178,2,71,6,64,50,0.0190019085836953,0.0710556285707341
Minnesota,Chisago County,55922,2,22,6,51,50,0.0643010152216905,0.0706577966607572
Virginia,Culpeper County,51859,2,50,6,60,50,0.0274583926957397,0.0702941995220608
Alabama,Marion County,29763,1,32,4,61,50,0.0241024582072307,0.0702175059789108
Indiana,Boone County,66999,3,26,8,50,50,0.0742949073080435,0.070214524875385
North Carolina,Hoke County,54764,2,25,4,55,50,0.045040714516774,0.0698600818659007
Colorado,Fremont County,48021,1,17,4,54,50,0.0470198336914636,0.0698068201826858
Oregon,Benton County,92101,4,122,12,63,50,0.0208209570627978,0.0697782933438382
Louisiana,Beauregard Parish,37253,2,35,6,57,50,0.0380230560592048,0.0696464933740176
California,Los Angeles County,10105518,662,8967,1828,54,50,0.0472144487821458,0.069616345511832
Montana,Silver Bow County,34993,3,50,11,55,50,0.0435966720708349,0.0690490219467548
Arkansas,Garland County,99154,11,319,49,60,51,0.0276626874648891,0.0688473218235583
Texas,Denton County,859064,51,627,107,54,51,0.0482036131324005,0.0688469867931823
Ohio,Logan County,45358,2,27,7,53,51,0.054366768733886,0.0686522096885424
Georgia,Fulton County,1050114,191,2114,457,53,51,0.0550643756291627,0.0685867555949238
New York,Ontario County,109864,7,204,27,60,51,0.0262679264442922,0.0685714154266869
Missouri,St. Louis County,996945,100,2056,362,57,51,0.0347903920178268,0.0684580454236221
Pennsylvania,Westmoreland County,350611,11,287,49,58,51,0.0314663032230662,0.0682975761304691
Texas,Ellis County,179436,7,140,18,59,51,0.0312073101971479,0.0681341559054175
Arizona,Coconino County,142854,18,171,44,52,51,0.0614082525886724,0.0679093663499044
Wisconsin,Walworth County,103718,4,41,14,50,51,0.0700382697771249,0.0676400866890674
Texas,DeWitt County,20187,1,15,4,54,51,0.0491422182285657,0.067569338088343
South Carolina,Georgetown County,62249,2,98,10,64,51,0.0181265813844231,0.0673098047739597
Oklahoma,Washington County,51843,2,59,8,61,51,0.0241850499987989,0.0669628525505865
North Dakota,Burleigh County,95273,18,220,60,53,51,0.0542411342718545,0.0668496746776818
Minnesota,Washington County,259201,10,83,31,49,51,0.0823317947710863,0.0666387079872981
New York,Clinton County,80695,8,134,28,55,51,0.0427254951610754,0.0665905757175835
South Dakota,Davison County,19790,2,32,8,55,51,0.0435923286779309,0.0663199152641778
Oregon,Union County,26461,1,17,4,55,51,0.0420840801745112,0.0660330442279667
South Carolina,York County,274118,11,187,32,56,51,0.0390613829891079,0.0659217626261345
Virginia,Mecklenburg County,30650,2,56,10,59,51,0.0305753758343441,0.0658891863982679
Michigan,Jackson County,158823,6,215,22,63,51,0.0201920617975381,0.0653648170700676
Missouri,Lafayette County,32598,1,21,4,57,51,0.0348059110732583,0.0652482006565799
Michigan,Hillsdale County,45749,1,32,4,61,51,0.0235381746524574,0.0649032039600712
Delaware,Kent County,178550,10,192,35,57,51,0.0356772269919867,0.0645766573237005
Montana,Ravalli County,43172,1,18,5,54,51,0.0481014283272667,0.0644363458264991
Utah,Tooele County,69907,2,24,4,55,51,0.0429916108527394,0.0644288618816835
Indiana,Bartholomew County,82753,5,145,17,62,51,0.0231465905908158,0.0642432022130792
Minnesota,Blue Earth County,67427,5,105,15,60,51,0.0278773728865151,0.0641400087419866
West Virginia,Marshall County,30785,2,5,9,35,51,0.323218472950597,0.064025166953505
Ohio,Marion County,65256,4,80,15,57,51,0.0361072845296257,0.063909356165193
New Jersey,Cape May County,92560,3,149,16,64,51,0.0175275307999973,0.063879299976325
Arizona,Graham County,38072,2,36,6,58,51,0.0329194146201271,0.0632961105754562
Tennessee,Sevier County,97892,2,42,8,57,51,0.0365855768347099,0.0632239148935525
Mississippi,Adams County,31192,2,88,8,65,51,0.0169753392088054,0.0631703191421922
Washington,Spokane County,514631,33,699,113,58,51,0.0319334998954412,0.0628444417155849
Texas,Galveston County,337890,18,281,57,55,52,0.0425096412698275,0.0618063720303629
Virginia,Accomack County,32412,1,11,5,50,52,0.0748587385311567,0.0612279839302646
Michigan,Barry County,61157,1,28,4,60,52,0.0267591597876259,0.0612209311227667
Ohio,Tuscarawas County,92176,3,111,13,63,52,0.0198788797756858,0.0610627291381254
Massachusetts,Hampden County,470406,24,808,91,63,52,0.0205887170059757,0.0609900604305921
Alabama,Cullman County,83442,3,113,12,63,52,0.0192529636292107,0.0607240756657244
New Jersey,Camden County,507078,51,1179,183,59,52,0.0295542895955122,0.0606429884576878
Ohio,Lake County,230514,11,232,49,57,52,0.0365106942762456,0.0604693894850252
Wisconsin,Kenosha County,169290,13,145,43,52,52,0.0600922444564301,0.0603912927584191
Wyoming,Natrona County,79115,4,208,14,67,52,0.0128272323142414,0.0602319296581895
Indiana,Sullivan County,20690,1,18,4,56,52,0.0403694418604617,0.0599468477672568
Illinois,LaSalle County,109430,3,107,13,63,52,0.0207694593602521,0.0598996197511297
Oregon,Umatilla County,77516,2,33,7,56,52,0.0392503733485053,0.0598021820041524
Wyoming,Park County,29324,1,36,5,62,52,0.0222324298488933,0.0592694798045469
Florida,Putnam County,74163,2,82,10,63,52,0.0195154794512421,0.0591247719566237
Missouri,Cole County,76796,5,105,19,58,52,0.0329384872147192,0.0586981708394378
Indiana,Dearborn County,49568,2,43,8,58,52,0.034309540100247,0.058577495379461
Indiana,Miami County,35567,1,15,4,54,52,0.0478401677755853,0.0585436843666849
Pennsylvania,Luzerne County,317646,21,510,97,59,52,0.0308447946761375,0.0585161194224368
Florida,DeSoto County,37489,1,40,5,64,52,0.018669307140098,0.058243037688827
Florida,Clay County,216072,10,335,36,63,52,0.0208211696654011,0.0580053190180536
Illinois,Will County,692310,28,575,88,58,52,0.0314404503117809,0.0579266133571629
Ohio,Cuyahoga County,1243857,167,2887,720,56,52,0.0415768799500183,0.0578730000687051
Michigan,Genesee County,406892,34,672,140,57,52,0.0361527633496381,0.0578495843339944
Connecticut,Windham County,117027,2,22,8,51,52,0.0657891300776454,0.0572667124696531
Nebraska,Madison County,35392,1,75,4,71,52,0.00879401187313774,0.0569482008601215
Michigan,Ingham County,292735,15,263,48,58,52,0.0342146365391676,0.0566591701883949
Mississippi,Pike County,39563,7,112,28,56,52,0.0418651462350874,0.0566139468115782
Georgia,Barrow County,80809,2,24,6,53,53,0.0514506591482397,0.0565465975240409
Michigan,Newaygo County,48892,2,9,9,42,53,0.168008368378917,0.0564333970195648
New Mexico,Bernalillo County,678701,43,871,167,58,53,0.0337179681522935,0.0562713946591023
Illinois,Kane County,534216,24,541,81,59,53,0.0286304177112703,0.0556353227896783
Vermont,Washington County,58140,3,47,14,54,53,0.0491081370328782,0.0555966592913968
South Carolina,Dillon County,30599,1,18,4,57,53,0.0380660356973086,0.0555449283959194
New York,Oswego County,117898,2,55,8,60,53,0.0259035529784132,0.0554513305655988
Ohio,Portage County,162927,4,103,16,60,53,0.0268668313860766,0.0553925730483849
Georgia,Forsyth County,236612,8,256,24,63,53,0.0195427778144179,0.0551994178350276
Minnesota,Hennepin County,1259428,103,1460,365,55,53,0.0456504352135606,0.0551401368373247
California,Mendocino County,87606,2,52,10,59,53,0.0300173662343777,0.0549297449852212
Mississippi,DeSoto County,182001,29,222,93,49,53,0.0819971129616873,0.0548526219869892
Colorado,Delta County,30953,1,37,6,62,53,0.0229647148083814,0.0548064682573371
Kansas,Johnson County,597555,36,428,131,53,53,0.0549817592731478,0.0547379404102401
New Mexico,Cibola County,26746,1,14,4,54,53,0.0479214923339563,0.0546605396210965
Ohio,Summit County,541918,36,608,161,55,53,0.0429613609581426,0.0546245174061177
Virginia,Fairfax County,1150795,46,740,158,56,53,0.0407404085185659,0.0544298471763459
Louisiana,Natchitoches Parish,38659,2,77,8,65,53,0.0164327857913353,0.054400956748105
Mississippi,Forrest County,75036,14,323,48,60,53,0.0259885633935721,0.0542540662591097
Georgia,Glynn County,85219,5,196,24,63,53,0.0191595334427331,0.0542043454860831
Indiana,Adams County,35636,1,21,4,59,53,0.0291816737468754,0.0541631880702834
Maine,Knox County,39771,1,53,6,65,53,0.0162020413299235,0.0540968572580358
Oregon,Hood River County,23428,1,15,4,55,53,0.0452667974662843,0.0538063050934059
Indiana,Noble County,47532,1,22,4,58,53,0.0312556455983042,0.053681896020954
Pennsylvania,Berks County,420152,16,591,71,64,53,0.0189605116709399,0.0534620464539013
Minnesota,Rice County,66523,1,27,4,61,53,0.0242664155831973,0.0530755825289467
Illinois,Livingston County,35761,1,33,5,62,53,0.022266252608898,0.0530587815635205
Louisiana,East Baton Rouge Parish,440956,58,894,209,56,53,0.0403380635389583,0.0528403664438936
Georgia,Henry County,230220,13,152,40,53,53,0.0534070161529059,0.052445517930728
Mississippi,Grenada County,21055,2,30,9,54,53,0.0469796078639327,0.0522324144954614
North Carolina,Wilson County,81455,3,66,14,58,53,0.0326668805951651,0.0520723905648284
New York,Cayuga County,77145,2,143,10,69,53,0.0106275320425723,0.0519803731669012
Louisiana,Iberia Parish,70941,2,90,8,66,53,0.0147462462553042,0.0517885969459745
Pennsylvania,Washington County,207346,9,275,48,61,53,0.025469399656003,0.0517524950453848
Tennessee,Claiborne County,31756,1,28,5,60,53,0.0273110133390586,0.051675834627013
Iowa,Johnson County,151260,37,560,114,57,53,0.0365010006911295,0.0515629153397738
Pennsylvania,Lehigh County,368100,27,609,121,59,53,0.0304480560417631,0.051506363162026
North Carolina,Johnston County,202675,4,100,14,60,53,0.0259247752978324,0.0513249688959088
Florida,Escambia County,315534,10,474,44,66,53,0.0144633736389427,0.0513121506538292
Michigan,Washtenaw County,370963,50,542,181,52,53,0.0567224179860431,0.0513105830930161
Maine,Kennebec County,122083,5,152,26,61,54,0.0256201672662019,0.0511116000834308
Kentucky,Oldham County,66470,2,26,7,54,54,0.0506751183587908,0.0510606634062975
Florida,Pinellas County,975280,45,1516,296,61,54,0.0251444727416829,0.0504214120672791
North Carolina,Wake County,1092305,54,863,175,56,54,0.0383333661519755,0.0502993487807568
Ohio,Warren County,232173,7,96,28,54,54,0.0491777744498803,0.0502733895508986
Indiana,Wells County,28206,1,24,5,59,54,0.0296602573828925,0.0500081568817767
Tennessee,Roane County,53140,1,46,6,64,54,0.017978925718717,0.0498961770556421
New York,Broome County,191659,9,377,48,65,54,0.0170917911757439,0.04951785891763
Idaho,Madison County,39304,2,23,4,58,54,0.0325218052989312,0.0494722422176584
Missouri,Clinton County,20470,1,33,5,62,54,0.0220478973378509,0.0494539413344674
Ohio,Union County,57835,2,26,7,54,54,0.0487125440561339,0.0493497912777637
Illinois,McLean County,172828,7,189,26,62,54,0.0222838835789706,0.0492547453449915
Indiana,Montgomery County,38346,1,24,5,59,54,0.0296828167306783,0.0491901909988762
Florida,Hernando County,190865,5,240,36,64,54,0.0178554865815486,0.0491310385930217
Pennsylvania,Philadelphia County,1584138,177,3130,687,57,54,0.0351093753582218,0.0491175715232571
Nebraska,Lincoln County,35185,3,56,16,56,54,0.0387400561661138,0.0489682163261155
Tennessee,Maury County,94340,6,83,26,54,54,0.0500013453146154,0.0489594669318187
Mississippi,Lee County,85202,12,403,50,63,54,0.0194760336218443,0.0487639201356345
Pennsylvania,Cumberland County,251423,13,392,67,61,54,0.0238593598433942,0.0485166517172642
Georgia,Lowndes County,116321,11,117,38,53,54,0.0527703386543809,0.0484125503301752
Indiana,Ripley County,28523,1,14,5,54,54,0.0509511622127342,0.0483499970370966
Florida,Highlands County,105424,4,192,38,63,54,0.0192491431334547,0.0482663847069344
Indiana,Clark County,117360,5,103,22,58,54,0.0335028119341262,0.0482236736921476
Michigan,Calhoun County,134487,4,135,20,63,54,0.020898732682884,0.0479695211007464
Texas,Coryell County,74808,1,22,3,61,54,0.0246934561259888,0.0475957086824544
Pennsylvania,York County,448273,18,536,90,61,54,0.0241540300215632,0.0475090832408566
California,Humboldt County,136373,5,126,24,60,54,0.0277493622408014,0.0474958902452505
Colorado,Broomfield County,69267,5,68,20,54,54,0.0474929162166735,0.0474642838261971
Iowa,Carroll County,20154,1,64,6,69,54,0.0114166799377274,0.0474242709086384
North Carolina,Randolph County,143351,2,29,10,54,54,0.0501248873044856,0.0473344202887901
Texas,Comal County,148373,4,78,20,57,54,0.0377516603431256,0.0473127590064446
Arkansas,White County,78727,3,283,14,73,54,0.00709997483700696,0.0471569623283594
South Carolina,Abbeville County,24541,1,19,6,56,54,0.0410176370627797,0.0469799508072505
North Carolina,Durham County,316739,63,629,241,51,54,0.0626635745092371,0.0466819639530896
Tennessee,Shelby County,935764,99,1728,394,57,54,0.0361882737896379,0.0466599272282809
Nevada,Washoe County,465735,25,412,114,56,54,0.0419823791231609,0.0466597127096997
Georgia,Crisp County,22601,3,49,16,55,54,0.0437784216422737,0.0466352052739528
Oklahoma,Payne County,82040,3,111,11,66,54,0.0144887106419382,0.0466086644008187
Connecticut,New London County,266784,6,282,32,65,54,0.0156887881817897,0.0465754902379746
Georgia,Clarke County,127330,17,290,54,59,54,0.0307047591915948,0.046484647687835
Virginia,Bedford County,78747,1,28,6,59,54,0.0289997616652745,0.0464480905635832
Kansas,Butler County,66765,3,72,14,60,55,0.0277346883676672,0.0457269519117603
Nevada,Elko County,52460,2,52,7,62,55,0.0230793909090151,0.0456099335499636
Montana,Flathead County,102106,4,110,22,60,55,0.0275741675804269,0.0456079910443648
Pennsylvania,Mercer County,110683,2,78,13,63,55,0.0199916634344894,0.045221111767913
Michigan,Midland County,83209,5,181,28,63,55,0.0202268147512222,0.0451830692431103
Arkansas,Boone County,37480,2,69,12,62,55,0.0215625931424493,0.0451779234088875
Illinois,St. Clair County,261059,7,319,34,66,55,0.0150368790928832,0.0451464368356045
Kentucky,Calloway County,39135,2,66,10,63,55,0.0199062083477454,0.0450514590196717
Maryland,Frederick County,255648,4,195,18,67,55,0.0138754688205126,0.0449214710041918
Missouri,St. Francois County,66692,2,68,10,63,55,0.0203653791272608,0.0446753599149908
Mississippi,Jackson County,143277,10,159,48,55,55,0.0434725250604752,0.0443942914159269
Pennsylvania,Butler County,187888,6,157,35,59,55,0.0289531928529216,0.0441967245934029
Indiana,Lawrence County,45668,1,44,6,65,55,0.0172245601292069,0.0441280615196754
Ohio,Darke County,51323,1,22,6,58,55,0.0335635368370399,0.044096298960212
Texas,Travis County,1248743,98,1197,314,54,55,0.0471437928610651,0.0437313975850771
Pennsylvania,Lebanon County,141314,3,73,18,59,55,0.0297267689338281,0.0436609090314486
Arkansas,Saline County,121421,3,60,16,57,55,0.035287823618529,0.0435786553158337
Michigan,Isabella County,70562,2,54,8,63,55,0.0210170398969173,0.0428504925966476
Arizona,Maricopa County,4410824,199,4298,950,59,55,0.0299165810788819,0.0428461009658492
Texas,Wichita County,132064,5,256,24,68,55,0.0122126430083003,0.0428453556703673
South Carolina,Greenville County,514213,39,778,192,58,55,0.0338271660984992,0.0428202655890594
Wisconsin,Green County,36929,1,44,6,65,55,0.017125317534693,0.0427722184108749
Texas,Limestone County,23519,1,63,6,69,55,0.0115590682154356,0.0426484720027458
Wisconsin,Rock County,163129,3,84,16,61,55,0.0249705106829905,0.0425618625249188
Arkansas,Greene County,45325,2,82,10,65,55,0.0162622652575623,0.0425003376911366
Michigan,Wexford County,33466,1,30,6,61,55,0.0247852105629236,0.0422596282589712
Mississippi,Marion County,24715,1,43,6,65,56,0.016585610569512,0.0417552163238024
California,Riverside County,2450758,59,1584,280,61,56,0.0234566521757741,0.0417449209774299
Kansas,Reno County,62342,2,88,13,65,56,0.0164606728902679,0.0416609004718028
Virginia,Albemarle County,108718,2,108,12,67,56,0.013095523408984,0.0414539842782871
Mississippi,Clay County,19386,1,37,6,63,56,0.0193731813210332,0.0414404234620597
Ohio,Wood County,130696,2,85,10,66,56,0.0150746159825329,0.0413799815498784
New Hampshire,Merrimack County,151132,4,196,24,66,56,0.015341987505913,0.0413673590443095
Texas,Kaufman County,128622,2,29,8,56,56,0.0417160663831845,0.0412869262503371
New York,Oneida County,229577,8,290,50,63,56,0.0199762371737089,0.0412830579606132
South Carolina,Chester County,32251,1,30,6,61,56,0.0246995908886803,0.0412668161043456
Nebraska,Sarpy County,184459,2,73,8,65,56,0.0161951804605936,0.0412231336905584
Washington,Cowlitz County,108987,3,126,18,64,56,0.017423727737851,0.0411712732443203
Alabama,Jefferson County,659300,91,1578,479,56,56,0.038799670815479,0.0408614837851215
Indiana,Grant County,65936,3,56,19,56,56,0.0385976200365192,0.0408582740645469
Florida,Hillsborough County,1436888,91,2048,435,59,56,0.028876494538829,0.0408369420370387
Hawaii,Hawaii County,200983,2,104,13,66,56,0.0147665555921075,0.0407665062042566
Tennessee,Hamblen County,64569,2,88,12,65,56,0.0162706933985228,0.0407404490814696
Washington,Clark County,481857,16,329,80,58,56,0.0327915872104978,0.0407221579802585
Louisiana,St. Landry Parish,82764,3,90,16,62,56,0.0221375259371982,0.0406329047460255
Georgia,Tift County,40571,4,119,20,62,56,0.0214541330964191,0.0405846564252589
Indiana,Floyd County,77781,6,120,32,57,56,0.0350053712132082,0.0405786900703157
Missouri,Jefferson County,224347,4,117,20,61,56,0.023855735648792,0.0405661747999818
Texas,Brown County,37924,2,127,13,69,56,0.0115407964674419,0.0404312927992937
Utah,Weber County,256359,4,88,16,60,56,0.0257331843730182,0.040419249145937
Ohio,Ashtabula County,97493,3,115,19,63,56,0.019548973217498,0.040398141590295
Texas,Fort Bend County,787858,29,758,110,62,56,0.023142647637765,0.0403360567662827
Michigan,Chippewa County,37517,1,38,6,64,56,0.0189334879145536,0.0400377353651826
Florida,Osceola County,367990,26,233,116,50,56,0.0692295518975613,0.0399514912867808
South Dakota,Brown County,39316,1,34,6,63,56,0.019683892262714,0.0398069986946311
South Carolina,Chesterfield County,45754,1,26,6,59,56,0.0284470611910481,0.0396356711910249
Indiana,St. Joseph County,270771,15,217,82,55,56,0.0453419082529877,0.0394452002745231
North Carolina,Forsyth County,379099,12,465,66,64,56,0.0174678362066792,0.0394387573391321
Indiana,LaPorte County,110007,2,63,12,62,56,0.0229416690978946,0.039397421395065
Colorado,Mesa County,153207,5,216,32,65,56,0.0166775270488831,0.0393370147799302
Kentucky,Henderson County,45591,2,69,12,63,56,0.020855380248242,0.0393302334375928
New York,St. Lawrence County,108047,1,81,6,71,56,0.00864740174072481,0.0392168958849334
West Virginia,Harrison County,67554,3,167,20,67,56,0.0134606410049975,0.0390118151582075
New Hampshire,Hillsborough County,415247,20,371,114,56,56,0.0384632958588078,0.0385702239881259
Illinois,Stephenson County,44753,1,78,8,70,56,0.0100963277148686,0.0385321169303764
Texas,Erath County,42446,1,34,5,64,56,0.0173963822874918,0.0384253856503235
North Carolina,Watauga County,55945,3,70,16,60,56,0.0273806509039819,0.0384180865109926
North Carolina,Granville County,60115,1,46,6,65,56,0.0160467323872641,0.0384050181121989
Ohio,Huron County,58504,2,72,12,63,56,0.0195706671748431,0.0383292570233707
Virginia,Alexandria City,160530,8,210,34,61,56,0.0239122107054344,0.0382608823743672
Wisconsin,Dodge County,87847,2,89,13,65,57,0.016673146974546,0.0379092036720953
Georgia,Hall County,202148,16,382,85,60,57,0.0271589059268132,0.037774081084365
Idaho,Ada County,469966,22,553,113,60,57,0.0258063289779987,0.0374924678523101
New York,Jefferson County,111755,2,79,10,66,57,0.0151007318185181,0.0372963334603557
Hawaii,Kauai County,72133,1,52,7,66,57,0.0144652639308524,0.0371930126700441
New York,Cortland County,47823,2,35,12,57,57,0.0380387311769241,0.0370449627227257
California,Stanislaus County,549815,11,360,54,64,57,0.0184297229885333,0.0370168260941153
South Carolina,Newberry County,38520,1,37,7,63,57,0.020001752672465,0.0366280347759416
Georgia,Coffee County,43093,2,46,10,60,57,0.0273389147370401,0.0364385518670487
Indiana,Hancock County,76351,4,20,24,43,57,0.140568708524969,0.036248723155876
South Carolina,Charleston County,405905,36,998,216,61,57,0.025005370390073,0.0359611536022207
Oklahoma,Wagoner County,80110,1,61,6,69,57,0.0112791329227173,0.0358461738374717
Georgia,Camden County,53677,1,23,5,60,57,0.0266504889067984,0.0357802808984217
Texas,Burnet County,47542,1,45,8,64,57,0.0175442125154843,0.0357257663163074
Missouri,Henry County,21792,1,37,8,62,57,0.0210438699673852,0.0357087198527657
Alabama,Autauga County,55601,1,44,6,66,57,0.0154331783303929,0.0355646767868694
Florida,Leon County,292502,8,239,40,63,57,0.0197133992299654,0.0353293847217012
Illinois,Whiteside County,55626,1,98,8,73,57,0.00776309595977638,0.0351466805700731
South Carolina,Horry County,344147,19,512,157,59,57,0.0311014173085287,0.035026037476328
Florida,Nassau County,85832,1,40,8,63,57,0.0202677877621841,0.035019457355214
Missouri,St. Charles County,399182,8,518,48,70,57,0.0104986840710189,0.0349591820843289
Minnesota,Ramsey County,550210,26,707,148,62,57,0.0232062985528157,0.0347694408513529
Kentucky,Nelson County,45851,2,12,12,45,57,0.115764255333172,0.0347508686528793
Utah,Cache County,127068,4,47,15,56,57,0.0389796523114475,0.0346929399336528
North Carolina,Alamance County,166436,3,114,20,64,57,0.0181696719638744,0.0346765271291735
North Carolina,Henderson County,116748,2,139,19,68,57,0.0120999322029005,0.0346566612974006
Washington,Walla Walla County,60922,2,51,14,60,57,0.0268095607537734,0.0346095977471169
