date,county,fips,count_type,count
2020-03-23,Los Angeles,6037,ever,
2020-03-24,Los Angeles,6037,ever,119
2020-03-25,Los Angeles,6037,ever,160
2020-03-26,Los Angeles,6037,ever,253
2020-03-27,Los Angeles,6037,ever,
2020-03-28,Los Angeles,6037,ever,398
2020-03-29,Los Angeles,6037,ever,453
2020-03-30,Los Angeles,6037,ever,492
2020-03-31,Los Angeles,6037,ever,
2020-04-01,Los Angeles,6037,ever,594
2020-04-02,Los Angeles,6037,ever,879
2020-04-03,Los Angeles,6037,ever,1018
2020-04-04,Los Angeles,6037,ever,1168
2020-04-05,Los Angeles,6037,ever,1257
2020-04-06,Los Angeles,6037,ever,
2020-04-07,Los Angeles,6037,ever,1366
2020-04-08,Los Angeles,6037,ever,1510
2020-04-09,Los Angeles,6037,ever,
2020-04-10,Los Angeles,6037,ever,2043
2020-03-23,Santa Clara,6085,current,125
2020-03-24,Santa Clara,6085,current,137
2020-03-25,Santa Clara,6085,current,
2020-03-26,Santa Clara,6085,current,
2020-03-27,Santa Clara,6085,current,
2020-03-28,Santa Clara,6085,current,
2020-03-29,Santa Clara,6085,current,
2020-03-30,Santa Clara,6085,current,172
2020-03-31,Santa Clara,6085,current,198
2020-04-01,Santa Clara,6085,current,245
2020-04-02,Santa Clara,6085,current,287
2020-04-03,Santa Clara,6085,current,268
2020-04-04,Santa Clara,6085,current,266
2020-04-05,Santa Clara,6085,current,
2020-04-06,Santa Clara,6085,current,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,