County,est_floor_beds_available,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18
Alameda,269,"40 [40, 40]","44 [43, 46]","50 [47, 52]","56 [51, 60]","62 [56, 69]","70 [61, 79]","79 [66, 91]","88 [72, 104]","99 [79, 120]","112 [86, 138]","126 [94, 158]","142 [102, 181]","160 [111, 208]","180 [121, 239]","203 [132, 275]"
Butte,87,"2 [2, 2]","2 [2, 2]","2 [2, 3]","3 [2, 3]","3 [2, 4]","4 [3, 5]","4 [3, 5]","5 [3, 6]","5 [3, 8]","6 [3, 9]","7 [4, 11]","8 [4, 13]","10 [4, 16]","12 [4, 19]","13 [5, 22]"
Contra Costa,209,"19 [19, 19]","22 [22, 22]","25 [25, 26]","29 [29, 30]","33 [33, 34]","38 [37, 39]","44 [43, 45]","50 [48, 52]","58 [55, 60]","66 [63, 69]","76 [72, 80]","87 [82, 92]","99 [93, 106]","114 [106, 122]","131 [121, 140]"
El Dorado,35,"9 [9, 9]","11 [10, 11]","12 [11, 13]","13 [12, 15]","15 [13, 17]","17 [14, 20]","19 [15, 23]","22 [17, 26]","24 [18, 31]","28 [20, 35]","31 [21, 41]","35 [23, 47]","40 [25, 55]","45 [27, 64]","52 [30, 74]"
Fresno,258,"9 [9, 9]","11 [11, 11]","13 [12, 13]","15 [14, 16]","18 [16, 19]","21 [19, 23]","25 [21, 28]","29 [25, 34]","34 [28, 41]","41 [32, 49]","48 [37, 59]","57 [43, 71]","67 [49, 86]","80 [57, 103]","95 [65, 124]"
Humboldt,38,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","2 [2, 2]","2 [2, 2]","2 [2, 2]","3 [3, 3]","3 [3, 3]","4 [4, 4]","5 [5, 4]","5 [5, 5]","6 [6, 6]"
Imperial,14,"6 [6, 6]","7 [6, 7]","8 [7, 8]","9 [8, 10]","11 [9, 12]","12 [10, 15]","14 [11, 18]","17 [12, 21]","20 [14, 25]","23 [15, 30]","27 [17, 37]","32 [19, 44]","37 [21, 53]","44 [24, 64]","51 [27, 76]"
Kern,202,"22 [22, 22]","27 [28, 27]","33 [35, 32]","41 [43, 39]","50 [54, 47]","62 [67, 57]","76 [83, 68]","93 [103, 82]","114 [129, 99]","140 [160, 119]","172 [200, 144]","211 [249, 173]","259 [310, 209]","319 [386, 251]","392 [481, 303]"
Los Angeles,2690,"660 [660, 660]","780 [773, 788]","923 [905, 941]","1092 [1060, 1124]","1291 [1241, 1342]","1528 [1453, 1602]","1807 [1701, 1913]","2138 [1992, 2284]","2530 [2333, 2727]","2994 [2732, 3257]","3544 [3199, 3889]","4195 [3746, 4643]","4965 [4386, 5544]","5878 [5136, 6620]","6960 [6015, 7905]"
Marin,89,"3 [3, 3]","3 [3, 3]","4 [4, 4]","4 [4, 4]","5 [4, 5]","5 [4, 6]","5 [5, 6]","6 [5, 7]","7 [5, 8]","7 [6, 9]","8 [6, 10]","9 [6, 12]","10 [7, 13]","11 [7, 15]","12 [8, 17]"
Merced,49,"3 [3, 3]","4 [4, 4]","5 [4, 5]","5 [5, 6]","6 [6, 7]","8 [7, 9]","9 [8, 10]","11 [9, 13]","13 [10, 15]","15 [11, 18]","18 [13, 22]","21 [15, 27]","25 [17, 32]","29 [20, 39]","35 [23, 47]"
Mono,4,"14 [14, 14]","15 [15, 16]","17 [17, 18]","19 [18, 20]","21 [20, 22]","23 [22, 25]","26 [24, 28]","29 [26, 31]","32 [28, 35]","35 [31, 39]","39 [34, 44]","43 [37, 49]","48 [41, 55]","53 [44, 62]","59 [48, 70]"
Monterey,106,"10 [10, 10]","12 [12, 12]","13 [13, 14]","15 [15, 16]","17 [16, 19]","20 [18, 22]","23 [20, 25]","26 [23, 29]","30 [25, 34]","34 [29, 39]","39 [32, 45]","44 [36, 52]","50 [40, 61]","58 [45, 70]","66 [50, 82]"
Napa,47,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 3]","3 [2, 4]","3 [2, 5]"
Nevada,0,"1 [1, 1]","1 [1, 1]","2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","3 [2, 3]","3 [3, 3]","3 [3, 4]","4 [3, 4]","4 [4, 5]","5 [4, 6]","6 [5, 6]","6 [5, 7]","7 [6, 8]"
Orange,721,"93 [93, 93]","105 [104, 107]","120 [115, 124]","136 [129, 144]","155 [144, 167]","177 [160, 193]","201 [179, 224]","229 [199, 259]","261 [223, 300]","298 [248, 347]","340 [277, 402]","387 [309, 466]","442 [345, 540]","505 [384, 625]","576 [429, 723]"
Placer,44,"14 [14, 14]","16 [16, 17]","19 [18, 20]","22 [20, 23]","25 [22, 27]","28 [25, 32]","33 [28, 38]","38 [31, 45]","44 [34, 53]","50 [38, 62]","58 [43, 73]","67 [48, 86]","77 [53, 101]","89 [60, 119]","103 [66, 140]"
Riverside,475,"83 [83, 83]","97 [99, 96]","115 [119, 111]","135 [142, 129]","160 [170, 149]","188 [204, 173]","222 [245, 200]","263 [293, 232]","310 [352, 269]","366 [421, 311]","433 [505, 361]","512 [605, 418]","605 [725, 485]","715 [869, 562]","846 [1042, 651]"
Sacramento,327,"45 [45, 45]","52 [51, 52]","59 [59, 60]","68 [67, 69]","78 [76, 80]","90 [87, 92]","103 [99, 106]","118 [113, 123]","135 [129, 141]","155 [148, 163]","178 [168, 188]","205 [192, 217]","235 [219, 251]","270 [250, 289]","310 [286, 334]"
San Benito,10,"1 [1, 1]","1 [1, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 3]","3 [2, 3]","3 [2, 4]","3 [2, 4]","4 [2, 5]","4 [3, 6]","5 [3, 7]","6 [3, 8]","6 [3, 10]","7 [3, 11]"
San Bernardino,521,"93 [93, 93]","118 [122, 115]","150 [160, 141]","191 [209, 173]","243 [273, 212]","309 [357, 260]","394 [467, 320]","502 [611, 393]","641 [800, 482]","819 [1046, 592]","1047 [1368, 727]","1341 [1789, 893]","1718 [2340, 1096]","2204 [3061, 1346]","2829 [4004, 1653]"
San Diego,757,"115 [115, 115]","134 [133, 136]","157 [154, 160]","183 [178, 189]","214 [205, 223]","250 [237, 263]","292 [274, 310]","341 [316, 365]","398 [366, 431]","465 [422, 508]","544 [488, 600]","635 [564, 707]","743 [651, 834]","868 [753, 984]","1015 [870, 1160]"
San Francisco,231,"51 [51, 51]","56 [55, 57]","61 [59, 63]","66 [63, 69]","72 [68, 77]","79 [73, 85]","86 [78, 94]","94 [83, 104]","102 [89, 115]","111 [96, 127]","122 [103, 141]","133 [110, 155]","145 [118, 172]","158 [127, 190]","173 [136, 210]"
San Joaquin,51,"28 [28, 28]","31 [30, 32]","35 [32, 37]","38 [35, 42]","42 [37, 48]","47 [40, 54]","52 [43, 62]","58 [46, 71]","65 [49, 81]","72 [52, 92]","80 [56, 105]","90 [60, 119]","100 [64, 136]","112 [69, 155]","125 [74, 176]"
San Luis Obispo,49,"2 [2, 2]","3 [3, 3]","3 [3, 3]","3 [3, 4]","4 [3, 5]","4 [3, 6]","5 [3, 7]","5 [3, 8]","6 [3, 9]","7 [3, 11]","8 [4, 13]","9 [4, 15]","11 [4, 17]","12 [4, 20]","14 [4, 24]"
San Mateo,168,"42 [42, 42]","48 [47, 49]","55 [53, 57]","63 [60, 66]","72 [67, 76]","82 [76, 88]","93 [85, 102]","107 [95, 118]","122 [107, 136]","139 [120, 158]","159 [135, 183]","182 [152, 212]","208 [170, 245]","238 [191, 284]","272 [215, 329]"
Santa Barbara,51,"18 [18, 18]","21 [20, 21]","24 [23, 26]","29 [26, 31]","34 [30, 37]","40 [34, 45]","47 [39, 54]","55 [45, 65]","65 [51, 79]","77 [59, 95]","91 [67, 115]","108 [77, 138]","127 [88, 167]","151 [101, 201]","179 [115, 242]"
Santa Clara,395,"105 [105, 105]","114 [111, 117]","125 [118, 131]","137 [126, 147]","149 [133, 165]","164 [142, 186]","179 [151, 208]","197 [160, 233]","216 [170, 262]","237 [181, 294]","261 [193, 329]","287 [205, 369]","316 [218, 414]","348 [231, 464]","383 [246, 521]"
Santa Cruz,20,"3 [3, 3]","3 [3, 3]","3 [3, 3]","4 [3, 4]","4 [3, 5]","4 [4, 5]","5 [4, 6]","5 [4, 7]","6 [4, 8]","7 [5, 9]","8 [5, 10]","9 [5, 12]","10 [6, 14]","11 [6, 16]","12 [6, 18]"
Shasta,87,"1 [1, 1]","2 [2, 1]","2 [2, 2]","2 [3, 2]","3 [3, 2]","3 [4, 3]","4 [5, 3]","5 [7, 4]","7 [9, 4]","8 [11, 5]","10 [15, 6]","13 [19, 7]","16 [24, 8]","20 [31, 10]","25 [39, 11]"
Solano,94,"10 [10, 10]","12 [12, 12]","13 [13, 14]","15 [14, 17]","17 [16, 19]","20 [17, 22]","23 [19, 26]","26 [21, 31]","30 [24, 36]","34 [26, 42]","39 [29, 49]","44 [32, 57]","51 [35, 66]","58 [39, 77]","67 [43, 90]"
Sonoma,113,"4 [4, 4]","5 [5, 5]","5 [5, 6]","6 [6, 7]","7 [6, 7]","7 [6, 9]","8 [7, 10]","9 [7, 11]","10 [8, 13]","12 [9, 14]","13 [9, 17]","14 [10, 19]","16 [11, 21]","18 [12, 25]","20 [12, 28]"
Stanislaus,108,"20 [20, 20]","23 [23, 24]","27 [26, 28]","32 [30, 34]","38 [34, 41]","45 [40, 49]","53 [46, 59]","62 [52, 72]","73 [60, 86]","86 [69, 103]","102 [80, 124]","121 [92, 150]","143 [106, 180]","169 [121, 216]","200 [140, 260]"
Tulare,101,"5 [5, 5]","6 [6, 6]","8 [8, 8]","9 [10, 9]","11 [12, 11]","14 [14, 13]","17 [17, 16]","20 [21, 20]","25 [26, 24]","30 [31, 28]","36 [38, 34]","44 [47, 41]","53 [57, 50]","65 [69, 60]","78 [84, 72]"
Ventura,43,"14 [14, 14]","16 [15, 16]","18 [16, 19]","21 [18, 23]","24 [20, 28]","27 [22, 33]","32 [24, 39]","37 [27, 47]","43 [29, 56]","50 [32, 67]","58 [36, 80]","67 [39, 95]","79 [43, 114]","92 [48, 136]","107 [53, 162]"
Yolo,15,"3 [3, 3]","3 [3, 3]","3 [3, 4]","4 [3, 5]","4 [3, 5]","5 [4, 7]","6 [4, 8]","7 [4, 10]","8 [4, 12]","9 [5, 14]","11 [5, 17]","13 [5, 20]","15 [6, 24]","18 [6, 29]","21 [7, 35]"
Yuba,52,"1 [1, 1]","2 [1, 2]","2 [2, 2]","2 [2, 2]","2 [2, 3]","3 [2, 3]","3 [2, 4]","3 [2, 4]","4 [3, 5]","4 [3, 6]","5 [3, 7]","6 [3, 8]","7 [4, 10]","8 [4, 12]","9 [4, 14]"
